Résultats du groupe 3040 du cours Prog7
ID;nom;programme;TP1;TP2;TP3;TP4;TP5;Exam1;Exam2;Exam3
82823;Tina Brown;prog;90;85;45;44;52;70;55;97
75183;Albert Gibson;prog;72;70;41;15;92;31;60;73
55764;Reginald Johnson;reseau;36;93;26;17;1;87;66;64
52168;Amanda Hayden;data;92;98;52;87;61;97;60;74
98477;Kenneth Smith;math;95;67;82;67;78;52;82;63
23975;Barbara Collins;reseau;90;99;75;78;68;70;95;57
79029;Cody Grant;prog;39;21;6;41;59;9;18;69
76171;Ann Greer;prog;37;51;81;82;91;22;87;70
92829;Sarah Oconnell;prog;66;65;63;83;63;85;59;68
49509;Tammy Mcgee;prog;96;91;90;68;62;47;95;78
49503;Tommy McERREUR;prog;96;91;90;68;62;47
29347;Elizabeth Peters;prog;42;73;25;52;5;37;56;27
95369;Alexandra Stanton;math;25;67;50;54;71;21;58;29
18956;Anna King;reseau;76;84;69;40;73;60;14;32
39764;Julie Green;reseau;100;95;67;72;84;100;67;50
54704;Lori Foster;math;80;71;41;93;90;58;76;64
18887;Rebecca Leonard MD;prog;15;43;73;9;12;15;9;33
97962;Katrina Rojas;reseau;66;11;27;59;9;4;60;56
41192;Carlos Atkins;prog;85;82;65;64;76;85;81;87
81851;Samantha Orr;prog;63;73;95;57;91;100;95;81
81850;Sam OhNON UNE ERREUR;prog;63;91;100;95;81
41112;Steve OVERACHIEVER;prog;85000000000;82;65;64;76;85;81;87
